City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Mahibadhoo,MV,2022-09-12 19:45:26,3.7833,72.9667,81.09,77,38,9.01
209,Skibbereen,IE,2022-09-12 19:45:26,51.55,-9.2667,68.11,93,99,11.43
210,Bambous Virieux,MU,2022-09-12 19:45:27,-20.3428,57.7575,70.21,78,40,9.22
211,Puerto Leguizamo,CO,2022-09-12 19:45:27,-0.1934,-74.7819,95.52,36,14,0.27
212,Eenhana,NA,2022-09-12 19:45:27,-17.4667,16.3333,70.99,14,2,4.83
213,Vestmanna,FO,2022-09-12 19:45:28,62.1564,-7.1664,49.12,100,100,20.71
214,Grajau,BR,2022-09-12 19:45:28,-5.8194,-46.1386,97.68,23,90,4.32
215,Lerwick,GB,2022-09-12 19:45:29,60.1545,-1.1494,53.6,81,53,18.01
216,Barentu,ER,2022-09-12 19:45:29,15.1139,37.5928,69.39,80,100,5.79
217,Arlit,NE,2022-09-12 19:45:30,18.7369,7.3853,98.29,8,0,7.78
218,Kama,RU,2022-09-12 19:45:30,56.3051,54.0936,43.7,88,7,0.51
219,Finote Selam,ET,2022-09-12 19:45:30,10.7,37.2667,57.47,94,96,3.56
220,Senneterre,CA,2022-09-12 19:45:31,48.3835,-77.2328,70.61,70,100,3.31
221,Henties Bay,NA,2022-09-12 19:45:31,-22.116,14.2845,55.13,86,0,2.51
222,Moyale,KE,2022-09-12 19:45:31,3.5167,39.0584,72.41,47,100,6.53
223,Ipanema,BR,2022-09-12 19:45:32,-30.1391,-51.2244,67.37,76,75,2.3
224,Kharp,RU,2022-09-12 19:45:32,66.8014,65.8081,44.38,94,100,9.91
225,Calama,CL,2022-09-12 19:43:33,-22.4667,-68.9333,70.29,12,0,27.63
226,Lake Havasu City,US,2022-09-12 19:46:33,34.4839,-114.3224,94.46,44,0,3.44
227,Sisimiut,GL,2022-09-12 19:46:33,66.9395,-53.6735,44.2,90,100,12.84
228,Altos,BR,2022-09-12 19:46:33,-5.0381,-42.46,95.31,18,62,3.96
229,Puerto Del Rosario,ES,2022-09-12 19:46:34,28.5004,-13.8627,80.35,69,75,10.36
230,Prince Rupert,CA,2022-09-12 19:46:34,54.3161,-130.3201,59.09,80,0,5.75
231,Bethanien,NA,2022-09-12 19:46:34,-26.502,17.1583,59.25,12,5,8.08
232,Polunochnoye,RU,2022-09-12 19:46:35,60.8697,60.4153,42.49,77,55,6.13
233,Poum,NC,2022-09-12 19:46:35,-20.2333,164.0167,76.66,79,100,15.93
234,Chuy,UY,2022-09-12 19:46:36,-33.6971,-53.4616,58.39,81,75,8.63
235,Saint-Philippe,RE,2022-09-12 19:46:36,-21.3585,55.7679,67.59,76,62,9.55
236,Salto Del Guaira,PY,2022-09-12 19:46:36,-24.0625,-54.3069,68.88,90,98,8.03
237,Vila Franca Do Campo,PT,2022-09-12 19:46:37,37.7167,-25.4333,76.19,83,53,11.32
238,Dikson,RU,2022-09-12 19:46:37,73.5069,80.5464,38.82,65,100,20.71
239,Kavieng,PG,2022-09-12 19:46:38,-2.5744,150.7967,80.74,73,98,12.46
